tissue_index,tissue_name
1,adipose_subcutaneous
2,adipose_visceral_omentum
3,adrenal_gland
4,artery_aorta
5,artery_coronary
6,artery_tibial
7,brain_caudate_basal_ganglia
8,brain_cerebellar_hemisphere
9,brain_cerebellum
10,brain_cortex
11,brain_frontal_cortex_ba_9
12,brain_hippocampus
13,brain_hypothalamus
14,brain_nucleus_accumbens_basal_ganglia
15,brain_putamen_basal_ganglia
16,brain_spinal_cord_cervical_c_1
17,breast_mammary_tissue
18,cells_cultured_fibroblasts
19,cells_ebv_transformed_lymphocytes
20,colon_sigmoid
21,colon_transverse
22,esophagus_gastroesophageal_junction
23,esophagus_mucosa
24,esophagus_muscularis
25,heart_atrial_appendage
26,heart_left_ventricle
27,liver
28,lung
29,muscle_skeletal
30,nerve_tibial
31,pancreas
32,pituitary
33,skin_not_sun_exposed_suprapubic
34,skin_sun_exposed_lower_leg
35,small_intestine_terminal_ileum
36,spleen
37,stomach
38,thyroid
39,whole_blood
